NATION,REGION,PROVINCE_CODE,PROVINCE,MUNICIPALITY
Espana,Andalucia,AL,Almeria,Abejuela (Al)
Espana,Andalucia,AL,Almeria,Abla
Espana,Andalucia,AL,Almeria,Abrucena
Espana,Andalucia,AL,Almeria,Adra
Espana,Andalucia,AL,Almeria,Albanchez
Espana,Andalucia,AL,Almeria,Alboloduy
Espana,Andalucia,AL,Almeria,Albox
Espana,Andalucia,AL,Almeria,Alcolea (Al)
Espana,Andalucia,AL,Almeria,Alcontar
Espana,Andalucia,AL,Almeria,Alcudia De Monteagud
Espana,Andalucia,AL,Almeria,Alhabia
Espana,Andalucia,AL,Almeria,Alhama De Almeria
Espana,Andalucia,AL,Almeria,Alicun
Espana,Andalucia,AL,Almeria,Almeria
Espana,Andalucia,AL,Almeria,Almocita
Espana,Andalucia,AL,Almeria,Alsodux
Espana,Andalucia,AL,Almeria,Antas
Espana,Andalucia,AL,Almeria,Arboleas
Espana,Andalucia,AL,Almeria,Armuna De Almanzora
Espana,Andalucia,AL,Almeria,Bacares
Espana,Andalucia,AL,Almeria,Bayarcal
Espana,Andalucia,AL,Almeria,Bayarque
Espana,Andalucia,AL,Almeria,Bedar
Espana,Andalucia,AL,Almeria,Beires
Espana,Andalucia,AL,Almeria,Benahadux
Espana,Andalucia,AL,Almeria,Benitagla
Espana,Andalucia,AL,Almeria,Benizalon
Espana,Andalucia,AL,Almeria,Bentarique
Espana,Andalucia,AL,Almeria,Berja
Espana,Andalucia,AL,Almeria,Canjayar
Espana,Andalucia,AL,Almeria,Cantoria
Espana,Andalucia,AL,Almeria,Carboneras (Al)
Espana,Andalucia,AL,Almeria,Castro De Filabres
Espana,Andalucia,AL,Almeria,Chercos
Espana,Andalucia,AL,Almeria,Chirivel
Espana,Andalucia,AL,Almeria,Cobdar
Espana,Andalucia,AL,Almeria,Cuevas Del Almanzora
Espana,Andalucia,AL,Almeria,Dalias
Espana,Andalucia,AL,Almeria,El Campillo
Espana,Andalucia,AL,Almeria,El Ejido
Espana,Andalucia,AL,Almeria,Enix
Espana,Andalucia,AL,Almeria,Felix
Espana,Andalucia,AL,Almeria,Finana
Espana,Andalucia,AL,Almeria,Fines
Espana,Andalucia,AL,Almeria,Fondon
Espana,Andalucia,AL,Almeria,Gador
Espana,Andalucia,AL,Almeria,Garrucha
Espana,Andalucia,AL,Almeria,Gergal
Espana,Andalucia,AL,Almeria,Huecija
Espana,Andalucia,AL,Almeria,Huercal De Almeria
Espana,Andalucia,AL,Almeria,Huercal-Overa
Espana,Andalucia,AL,Almeria,Illar
Espana,Andalucia,AL,Almeria,Instincion
Espana,Andalucia,AL,Almeria,La Hoya
Espana,Andalucia,AL,Almeria,La Mata
Espana,Andalucia,AL,Almeria,La Mojonera
Espana,Andalucia,AL,Almeria,La Rambla
Espana,Andalucia,AL,Almeria,La Rambla
Espana,Andalucia,AL,Almeria,La Rambla
Espana,Andalucia,AL,Almeria,Laroya
Espana,Andalucia,AL,Almeria,Las Tres Villas
Espana,Andalucia,AL,Almeria,Laujar De Andarax
Espana,Andalucia,AL,Almeria,Lijar
Espana,Andalucia,AL,Almeria,Los Gallardos
Espana,Andalucia,AL,Almeria,Lubrin
Espana,Andalucia,AL,Almeria,Lucainena De Las Torres
Espana,Andalucia,AL,Almeria,Lucar
Espana,Andalucia,AL,Almeria,Macael
Espana,Andalucia,AL,Almeria,Maria
Espana,Andalucia,AL,Almeria,Mojacar
Espana,Andalucia,AL,Almeria,Nacimiento
Espana,Andalucia,AL,Almeria,Nijar
Espana,Andalucia,AL,Almeria,Ohanes
Espana,Andalucia,AL,Almeria,Olula De Castro
Espana,Andalucia,AL,Almeria,Olula Del Rio
Espana,Andalucia,AL,Almeria,Oria (Al)
Espana,Andalucia,AL,Almeria,Padules
Espana,Andalucia,AL,Almeria,Partaloa
Espana,Andalucia,AL,Almeria,Paterna Del Rio
Espana,Andalucia,AL,Almeria,Pechina
Espana,Andalucia,AL,Almeria,Pulpi
Espana,Andalucia,AL,Almeria,Purchena
Espana,Andalucia,AL,Almeria,Ragol
Espana,Andalucia,AL,Almeria,Rioja
Espana,Andalucia,AL,Almeria,Roquetas De Mar
Espana,Andalucia,AL,Almeria,Santa Cruz De Marchena
Espana,Andalucia,AL,Almeria,Santa Fe De Mondujar
Espana,Andalucia,AL,Almeria,Senes
Espana,Andalucia,AL,Almeria,Seron
Espana,Andalucia,AL,Almeria,Sierro
Espana,Andalucia,AL,Almeria,Somontin
Espana,Andalucia,AL,Almeria,Sorbas
Espana,Andalucia,AL,Almeria,Sufli
